289	6.048073324687e-04	1.147590084497e-03
1089	1.561666503124e-04	2.875576248386e-04
4225	3.966651043739e-05	7.193093663535e-05
289	6.048073324687e-04	1.147590084497e-03
289	6.048073324687e-04	1.147590084497e-03
289	6.048073324687e-04	1.147590084497e-03
289	6.048073324687e-04	1.147590084497e-03
289	6.048073324687e-04	1.147590084497e-03
1089	1.561666503124e-04	2.875576248386e-04
1089	1.561666503124e-04	2.875576248386e-04
1089	1.561666503124e-04	2.875576248386e-04
1089	1.561666503124e-04	2.875576248386e-04
1089	1.561666503124e-04	2.875576248386e-04
1089	1.561666503124e-04	2.875576248386e-04
1089	1.561666503124e-04	2.875576248386e-04
4225	3.966651043739e-05	7.193093663535e-05
4225	3.966651043739e-05	7.193093663535e-05
4225	3.966651043739e-05	7.193093663535e-05
4225	3.966651043739e-05	7.193093663535e-05
4225	3.966651043739e-05	7.193093663535e-05
