Points_0,Points_1,Points_2,Points_Magnitude,arc_length,phi,Point ID,vtkValidPointMask
0.212,0.212,0,0.299813,0.299813,0.0189084,212,1
0.213,0.213,0,0.301227,0.301227,0.0190128,213,1
0.214,0.214,0,0.302642,0.302642,0.0191172,214,1
0.215,0.215,0,0.304056,0.304056,0.0192216,215,1
0.216,0.216,0,0.30547,0.30547,0.0193259,216,1
0.217,0.217,0,0.306884,0.306884,0.0194303,217,1
0.218,0.218,0,0.308299,0.308299,0.0195347,218,1
0.219,0.219,0,0.309713,0.309713,0.01964,219,1
0.22,0.22,0,0.311127,0.311127,0.0197483,220,1
0.221,0.221,0,0.312541,0.312541,0.0198565,221,1
0.222,0.222,0,0.313955,0.313955,0.0199647,222,1
0.223,0.223,0,0.31537,0.31537,0.0200729,223,1
0.224,0.224,0,0.316784,0.316784,0.0201811,224,1
0.225,0.225,0,0.318198,0.318198,0.0202894,225,1
0.226,0.226,0,0.319612,0.319612,0.0203976,226,1
0.227,0.227,0,0.321026,0.321026,0.0205058,227,1
0.228,0.228,0,0.322441,0.322441,0.020614,228,1
0.229,0.229,0,0.323855,0.323855,0.0207222,229,1
0.23,0.23,0,0.325269,0.325269,0.0208305,230,1
0.231,0.231,0,0.326683,0.326683,0.0209387,231,1
0.232,0.232,0,0.328098,0.328098,0.0210469,232,1
0.233,0.233,0,0.329512,0.329512,0.0211551,233,1
0.234,0.234,0,0.330926,0.330926,0.0212633,234,1
0.235,0.235,0,0.33234,0.33234,0.0213743,235,1
0.236,0.236,0,0.333754,0.333754,0.0214869,236,1
0.237,0.237,0,0.335169,0.335169,0.0215995,237,1
0.238,0.238,0,0.336583,0.336583,0.0217121,238,1
0.239,0.239,0,0.337997,0.337997,0.0218247,239,1
0.24,0.24,0,0.339411,0.339411,0.0219373,240,1
0.241,0.241,0,0.340825,0.340825,0.0220499,241,1
0.242,0.242,0,0.34224,0.34224,0.0221625,242,1
0.243,0.243,0,0.343654,0.343654,0.0222751,243,1
0.244,0.244,0,0.345068,0.345068,0.0223877,244,1
0.245,0.245,0,0.346482,0.346482,0.0225003,245,1
0.246,0.246,0,0.347897,0.347897,0.0226129,246,1
0.247,0.247,0,0.349311,0.349311,0.0227255,247,1
0.248,0.248,0,0.350725,0.350725,0.0228381,248,1
0.249,0.249,0,0.352139,0.352139,0.0229507,249,1
0.25,0.25,0,0.353553,0.353553,0.0230633,250,1
0.251,0.251,0,0.354968,0.354968,0.0231809,251,1
0.252,0.252,0,0.356382,0.356382,0.0232985,252,1
0.253,0.253,0,0.357796,0.357796,0.0234161,253,1
0.254,0.254,0,0.35921,0.35921,0.0235337,254,1
0.255,0.255,0,0.360624,0.360624,0.0236514,255,1
0.256,0.256,0,0.362039,0.362039,0.023769,256,1
0.257,0.257,0,0.363453,0.363453,0.0238866,257,1
0.258,0.258,0,0.364867,0.364867,0.0240042,258,1
0.259,0.259,0,0.366281,0.366281,0.0241218,259,1
0.26,0.26,0,0.367696,0.367696,0.0242394,260,1
0.261,0.261,0,0.36911,0.36911,0.024357,261,1
0.262,0.262,0,0.370524,0.370524,0.0244746,262,1
0.263,0.263,0,0.371938,0.371938,0.0245923,263,1
0.264,0.264,0,0.373352,0.373352,0.0247099,264,1
0.265,0.265,0,0.374767,0.374767,0.0248275,265,1
0.266,0.266,0,0.376181,0.376181,0.0249472,266,1
0.267,0.267,0,0.377595,0.377595,0.0250706,267,1
0.268,0.268,0,0.379009,0.379009,0.025194,268,1
0.269,0.269,0,0.380423,0.380423,0.0253173,269,1
0.27,0.27,0,0.381838,0.381838,0.0254407,270,1
0.271,0.271,0,0.383252,0.383252,0.0255641,271,1
0.272,0.272,0,0.384666,0.384666,0.0256874,272,1
0.273,0.273,0,0.38608,0.38608,0.0258108,273,1
0.274,0.274,0,0.387495,0.387495,0.0259341,274,1
0.275,0.275,0,0.388909,0.388909,0.0260575,275,1
0.276,0.276,0,0.390323,0.390323,0.0261809,276,1
0.277,0.277,0,0.391737,0.391737,0.0263042,277,1
0.278,0.278,0,0.393151,0.393151,0.0264276,278,1
0.279,0.279,0,0.394566,0.394566,0.026551,279,1
0.28,0.28,0,0.39598,0.39598,0.0266743,280,1
0.281,0.281,0,0.397394,0.397394,0.0267977,281,1
0.282,0.282,0,0.398808,0.398808,0.026926,282,1
0.283,0.283,0,0.400222,0.400222,0.027056,283,1
0.284,0.284,0,0.401637,0.401637,0.0271859,284,1
0.285,0.285,0,0.403051,0.403051,0.0273159,285,1
0.286,0.286,0,0.404465,0.404465,0.0274459,286,1
0.287,0.287,0,0.405879,0.405879,0.0275759,287,1
0.288,0.288,0,0.407293,0.407293,0.0277058,288,1
0.289,0.289,0,0.408708,0.408708,0.0278358,289,1
0.29,0.29,0,0.410122,0.410122,0.0279658,290,1
0.291,0.291,0,0.411536,0.411536,0.0280958,291,1
0.292,0.292,0,0.41295,0.41295,0.0282257,292,1
0.293,0.293,0,0.414365,0.414365,0.0283557,293,1
0.294,0.294,0,0.415779,0.415779,0.0284857,294,1
0.295,0.295,0,0.417193,0.417193,0.0286157,295,1
0.296,0.296,0,0.418607,0.418607,0.0287456,296,1
0.297,0.297,0,0.420021,0.420021,0.0288766,297,1
0.298,0.298,0,0.421436,0.421436,0.0290141,298,1
0.299,0.299,0,0.42285,0.42285,0.0291517,299,1
0.3,0.3,0,0.424264,0.424264,0.0292893,300,1
0.301,0.301,0,0.425678,0.425678,0.0294269,301,1
0.302,0.302,0,0.427092,0.427092,0.0295645,302,1
0.303,0.303,0,0.428507,0.428507,0.0297021,303,1
0.304,0.304,0,0.429921,0.429921,0.0298397,304,1
0.305,0.305,0,0.431335,0.431335,0.0299773,305,1
0.306,0.306,0,0.432749,0.432749,0.0301149,306,1
0.307,0.307,0,0.434164,0.434164,0.0302525,307,1
0.308,0.308,0,0.435578,0.435578,0.0303901,308,1
0.309,0.309,0,0.436992,0.436992,0.0305276,309,1
0.31,0.31,0,0.438406,0.438406,0.0306652,310,1
0.311,0.311,0,0.43982,0.43982,0.0308028,311,1
0.312,0.312,0,0.441235,0.441235,0.0309404,312,1
0.313,0.313,0,0.442649,0.442649,0.0310824,313,1
0.314,0.314,0,0.444063,0.444063,0.0312288,314,1
0.315,0.315,0,0.445477,0.445477,0.0313752,315,1
0.316,0.316,0,0.446892,0.446892,0.0315216,316,1
0.317,0.317,0,0.448306,0.448306,0.031668,317,1
0.318,0.318,0,0.44972,0.44972,0.0318143,318,1
0.319,0.319,0,0.451134,0.451134,0.0319607,319,1
0.32,0.32,0,0.452548,0.452548,0.0321071,320,1
0.321,0.321,0,0.453963,0.453963,0.0322535,321,1
0.322,0.322,0,0.455377,0.455377,0.0323999,322,1
0.323,0.323,0,0.456791,0.456791,0.0325463,323,1
0.324,0.324,0,0.458205,0.458205,0.0326926,324,1
0.325,0.325,0,0.459619,0.459619,0.032839,325,1
0.326,0.326,0,0.461034,0.461034,0.0329854,326,1
0.327,0.327,0,0.462448,0.462448,0.0331318,327,1
0.328,0.328,0,0.463862,0.463862,0.0332782,328,1
0.329,0.329,0,0.465276,0.465276,0.0334335,329,1
0.33,0.33,0,0.466691,0.46669,0.03359,330,1
0.331,0.331,0,0.468105,0.468105,0.0337466,331,1
0.332,0.332,0,0.469519,0.469519,0.0339031,332,1
0.333,0.333,0,0.470933,0.470933,0.0340597,333,1
0.334,0.334,0,0.472347,0.472347,0.0342162,334,1
0.335,0.335,0,0.473762,0.473762,0.0343728,335,1
0.336,0.336,0,0.475176,0.475176,0.0345293,336,1
0.337,0.337,0,0.47659,0.47659,0.0346859,337,1
0.338,0.338,0,0.478004,0.478004,0.0348424,338,1
0.339,0.339,0,0.479418,0.479418,0.034999,339,1
0.34,0.34,0,0.480833,0.480833,0.0351555,340,1
0.341,0.341,0,0.482247,0.482247,0.0353121,341,1
0.342,0.342,0,0.483661,0.483661,0.0354686,342,1
0.343,0.343,0,0.485075,0.485075,0.0356252,343,1
0.344,0.344,0,0.486489,0.486489,0.0357847,344,1
0.345,0.345,0,0.487904,0.487904,0.035953,345,1
0.346,0.346,0,0.489318,0.489318,0.0361213,346,1
