Points_0,Points_1,Points_2,Points_Magnitude,arc_length,phi,Point ID,vtkValidPointMask
0,0.5,0,0.5,0,0.0437823,0,1
0.001,0.5,0,0.500001,0.001,0.0437939,1,1
0.002,0.5,0,0.500004,0.002,0.0438055,2,1
0.003,0.5,0,0.500009,0.003,0.0438171,3,1
0.004,0.5,0,0.500016,0.004,0.0438286,4,1
0.005,0.5,0,0.500025,0.005,0.0438402,5,1
0.006,0.5,0,0.500036,0.006,0.0438518,6,1
0.007,0.5,0,0.500049,0.007,0.0438633,7,1
0.008,0.5,0,0.500064,0.008,0.0438749,8,1
0.009,0.5,0,0.500081,0.009,0.0438865,9,1
0.01,0.5,0,0.5001,0.01,0.043898,10,1
0.011,0.5,0,0.500121,0.011,0.0439096,11,1
0.012,0.5,0,0.500144,0.012,0.0439212,12,1
0.013,0.5,0,0.500169,0.013,0.0439327,13,1
0.014,0.5,0,0.500196,0.014,0.0439443,14,1
0.015,0.5,0,0.500225,0.015,0.0439559,15,1
0.016,0.5,0,0.500256,0.016,0.0439681,16,1
0.017,0.5,0,0.500289,0.017,0.0439815,17,1
0.018,0.5,0,0.500324,0.018,0.0439949,18,1
0.019,0.5,0,0.500361,0.019,0.0440083,19,1
0.02,0.5,0,0.5004,0.02,0.0440217,20,1
0.021,0.5,0,0.500441,0.021,0.0440351,21,1
0.022,0.5,0,0.500484,0.022,0.0440485,22,1
0.023,0.5,0,0.500529,0.023,0.0440619,23,1
0.024,0.5,0,0.500576,0.024,0.0440753,24,1
0.025,0.5,0,0.500625,0.025,0.0440887,25,1
0.026,0.5,0,0.500676,0.026,0.0441021,26,1
0.027,0.5,0,0.500728,0.027,0.0441155,27,1
0.028,0.5,0,0.500783,0.028,0.0441289,28,1
0.029,0.5,0,0.50084,0.029,0.0441423,29,1
0.03,0.5,0,0.500899,0.03,0.0441557,30,1
0.031,0.5,0,0.50096,0.031,0.0441691,31,1
0.032,0.5,0,0.501023,0.032,0.0441839,32,1
0.033,0.5,0,0.501088,0.033,0.0441993,33,1
0.034,0.5,0,0.501155,0.034,0.0442147,34,1
0.035,0.5,0,0.501224,0.035,0.0442301,35,1
0.036,0.5,0,0.501294,0.036,0.0442455,36,1
0.037,0.5,0,0.501367,0.037,0.0442608,37,1
0.038,0.5,0,0.501442,0.038,0.0442762,38,1
0.039,0.5,0,0.501519,0.039,0.0442916,39,1
0.04,0.5,0,0.501597,0.04,0.044307,40,1
0.041,0.5,0,0.501678,0.041,0.0443223,41,1
0.042,0.5,0,0.501761,0.042,0.0443377,42,1
0.043,0.5,0,0.501846,0.043,0.0443531,43,1
0.044,0.5,0,0.501932,0.044,0.0443685,44,1
0.045,0.5,0,0.502021,0.045,0.0443839,45,1
0.046,0.5,0,0.502112,0.046,0.0443992,46,1
0.047,0.5,0,0.502204,0.047,0.0444149,47,1
0.048,0.5,0,0.502299,0.048,0.0444324,48,1
0.049,0.5,0,0.502395,0.049,0.0444499,49,1
0.05,0.5,0,0.502494,0.05,0.0444675,50,1
0.051,0.5,0,0.502594,0.051,0.044485,51,1
0.052,0.5,0,0.502697,0.052,0.0445025,52,1
0.053,0.5,0,0.502801,0.053,0.04452,53,1
0.054,0.5,0,0.502908,0.054,0.0445376,54,1
0.055,0.5,0,0.503016,0.055,0.0445551,55,1
0.056,0.5,0,0.503126,0.056,0.0445726,56,1
0.057,0.5,0,0.503238,0.057,0.0445901,57,1
0.058,0.5,0,0.503353,0.058,0.0446077,58,1
0.059,0.5,0,0.503469,0.059,0.0446252,59,1
0.06,0.5,0,0.503587,0.06,0.0446427,60,1
0.061,0.5,0,0.503707,0.061,0.0446602,61,1
0.062,0.5,0,0.503829,0.062,0.0446778,62,1
0.063,0.5,0,0.503953,0.063,0.0446964,63,1
0.064,0.5,0,0.504079,0.064,0.0447163,64,1
0.065,0.5,0,0.504207,0.065,0.0447361,65,1
0.066,0.5,0,0.504337,0.066,0.044756,66,1
0.067,0.5,0,0.504469,0.067,0.0447758,67,1
0.068,0.5,0,0.504603,0.068,0.0447957,68,1
0.069,0.5,0,0.504739,0.069,0.0448155,69,1
0.07,0.5,0,0.504876,0.07,0.0448353,70,1
0.071,0.5,0,0.505016,0.071,0.0448552,71,1
0.072,0.5,0,0.505157,0.072,0.044875,72,1
0.073,0.5,0,0.505301,0.073,0.0448949,73,1
0.074,0.5,0,0.505446,0.074,0.0449147,74,1
0.075,0.5,0,0.505594,0.075,0.0449345,75,1
0.076,0.5,0,0.505743,0.076,0.0449544,76,1
0.077,0.5,0,0.505894,0.077,0.0449742,77,1
0.078,0.5,0,0.506047,0.078,0.0449941,78,1
0.079,0.5,0,0.506203,0.079,0.0450161,79,1
0.08,0.5,0,0.50636,0.08,0.0450384,80,1
0.081,0.5,0,0.506518,0.081,0.0450608,81,1
0.082,0.5,0,0.506679,0.082,0.0450831,82,1
0.083,0.5,0,0.506842,0.083,0.0451054,83,1
0.084,0.5,0,0.507007,0.084,0.0451278,84,1
0.085,0.5,0,0.507174,0.085,0.0451501,85,1
0.086,0.5,0,0.507342,0.086,0.0451724,86,1
0.087,0.5,0,0.507513,0.087,0.0451948,87,1
0.088,0.5,0,0.507685,0.088,0.0452171,88,1
0.089,0.5,0,0.507859,0.089,0.0452395,89,1
0.09,0.5,0,0.508035,0.09,0.0452618,90,1
0.091,0.5,0,0.508214,0.091,0.0452841,91,1
0.092,0.5,0,0.508394,0.092,0.0453065,92,1
0.093,0.5,0,0.508575,0.093,0.0453288,93,1
0.094,0.5,0,0.508759,0.094,0.0453518,94,1
0.095,0.5,0,0.508945,0.095,0.0453768,95,1
0.096,0.5,0,0.509133,0.096,0.0454018,96,1
0.097,0.5,0,0.509322,0.097,0.0454269,97,1
0.098,0.5,0,0.509513,0.098,0.0454519,98,1
0.099,0.5,0,0.509707,0.099,0.0454769,99,1
0.1,0.5,0,0.509902,0.1,0.0455019,100,1
0.101,0.5,0,0.510099,0.101,0.0455269,101,1
0.102,0.5,0,0.510298,0.102,0.045552,102,1
0.103,0.5,0,0.510499,0.103,0.045577,103,1
0.104,0.5,0,0.510701,0.104,0.045602,104,1
0.105,0.5,0,0.510906,0.105,0.045627,105,1
0.106,0.5,0,0.511113,0.106,0.045652,106,1
0.107,0.5,0,0.511321,0.107,0.0456771,107,1
0.108,0.5,0,0.511531,0.108,0.0457021,108,1
0.109,0.5,0,0.511743,0.109,0.0457271,109,1
0.11,0.5,0,0.511957,0.11,0.0457539,110,1
0.111,0.5,0,0.512173,0.111,0.0457818,111,1
0.112,0.5,0,0.51239,0.112,0.0458097,112,1
0.113,0.5,0,0.51261,0.113,0.0458377,113,1
0.114,0.5,0,0.512831,0.114,0.0458656,114,1
0.115,0.5,0,0.513055,0.115,0.0458935,115,1
0.116,0.5,0,0.51328,0.116,0.0459214,116,1
0.117,0.5,0,0.513507,0.117,0.0459493,117,1
0.118,0.5,0,0.513735,0.118,0.0459772,118,1
0.119,0.5,0,0.513966,0.119,0.0460051,119,1
0.12,0.5,0,0.514198,0.12,0.046033,120,1
0.121,0.5,0,0.514433,0.121,0.0460609,121,1
0.122,0.5,0,0.514669,0.122,0.0460888,122,1
0.123,0.5,0,0.514907,0.123,0.0461167,123,1
0.124,0.5,0,0.515147,0.124,0.0461446,124,1
0.125,0.5,0,0.515388,0.125,0.0461725,125,1
0.126,0.5,0,0.515632,0.126,0.0462036,126,1
0.127,0.5,0,0.515877,0.127,0.0462346,127,1
0.128,0.5,0,0.516124,0.128,0.0462656,128,1
0.129,0.5,0,0.516373,0.129,0.0462966,129,1
0.13,0.5,0,0.516624,0.13,0.0463276,130,1
0.131,0.5,0,0.516876,0.131,0.0463586,131,1
0.132,0.5,0,0.517131,0.132,0.0463896,132,1
0.133,0.5,0,0.517387,0.133,0.0464207,133,1
0.134,0.5,0,0.517645,0.134,0.0464517,134,1
0.135,0.5,0,0.517904,0.135,0.0464827,135,1
0.136,0.5,0,0.518166,0.136,0.0465137,136,1
0.137,0.5,0,0.518429,0.137,0.0465447,137,1
0.138,0.5,0,0.518695,0.138,0.0465757,138,1
0.139,0.5,0,0.518961,0.139,0.0466067,139,1
0.14,0.5,0,0.51923,0.14,0.0466378,140,1
0.141,0.5,0,0.519501,0.141,0.04667,141,1
0.142,0.5,0,0.519773,0.142,0.0467044,142,1
0.143,0.5,0,0.520047,0.143,0.0467388,143,1
0.144,0.5,0,0.520323,0.144,0.0467731,144,1
0.145,0.5,0,0.520601,0.145,0.0468075,145,1
0.146,0.5,0,0.52088,0.146,0.0468418,146,1
0.147,0.5,0,0.521161,0.147,0.0468762,147,1
0.148,0.5,0,0.521444,0.148,0.0469106,148,1
0.149,0.5,0,0.521729,0.149,0.0469449,149,1
0.15,0.5,0,0.522015,0.15,0.0469793,150,1
0.151,0.5,0,0.522304,0.151,0.0470136,151,1
0.152,0.5,0,0.522594,0.152,0.047048,152,1
0.153,0.5,0,0.522885,0.153,0.0470824,153,1
0.154,0.5,0,0.523179,0.154,0.0471167,154,1
0.155,0.5,0,0.523474,0.155,0.0471511,155,1
0.156,0.5,0,0.523771,0.156,0.0471854,156,1
0.157,0.5,0,0.52407,0.157,0.0472225,157,1
0.158,0.5,0,0.52437,0.158,0.0472605,158,1
0.159,0.5,0,0.524672,0.159,0.0472985,159,1
0.16,0.5,0,0.524976,0.16,0.0473364,160,1
0.161,0.5,0,0.525282,0.161,0.0473744,161,1
0.162,0.5,0,0.525589,0.162,0.0474124,162,1
0.163,0.5,0,0.525898,0.163,0.0474504,163,1
0.164,0.5,0,0.526209,0.164,0.0474883,164,1
0.165,0.5,0,0.526522,0.165,0.0475263,165,1
0.166,0.5,0,0.526836,0.166,0.0475643,166,1
0.167,0.5,0,0.527152,0.167,0.0476023,167,1
0.168,0.5,0,0.527469,0.168,0.0476402,168,1
0.169,0.5,0,0.527789,0.169,0.0476782,169,1
0.17,0.5,0,0.52811,0.17,0.0477162,170,1
0.171,0.5,0,0.528433,0.171,0.0477542,171,1
0.172,0.5,0,0.528757,0.172,0.0477926,172,1
0.173,0.5,0,0.529083,0.173,0.0478345,173,1
0.174,0.5,0,0.529411,0.174,0.0478764,174,1
0.175,0.5,0,0.529741,0.175,0.0479183,175,1
0.176,0.5,0,0.530072,0.176,0.0479602,176,1
0.177,0.5,0,0.530405,0.177,0.0480021,177,1
0.178,0.5,0,0.530739,0.178,0.048044,178,1
0.179,0.5,0,0.531075,0.179,0.0480858,179,1
0.18,0.5,0,0.531413,0.18,0.0481277,180,1
0.181,0.5,0,0.531753,0.181,0.0481696,181,1
0.182,0.5,0,0.532094,0.182,0.0482115,182,1
0.183,0.5,0,0.532437,0.183,0.0482534,183,1
0.184,0.5,0,0.532781,0.184,0.0482953,184,1
0.185,0.5,0,0.533128,0.185,0.0483372,185,1
0.186,0.5,0,0.533475,0.186,0.048379,186,1
0.187,0.5,0,0.533825,0.187,0.0484209,187,1
0.188,0.5,0,0.534176,0.188,0.0484649,188,1
0.189,0.5,0,0.534529,0.189,0.0485111,189,1
0.19,0.5,0,0.534883,0.19,0.0485572,190,1
0.191,0.5,0,0.535239,0.191,0.0486034,191,1
0.192,0.5,0,0.535597,0.192,0.0486495,192,1
0.193,0.5,0,0.535956,0.193,0.0486956,193,1
0.194,0.5,0,0.536317,0.194,0.0487418,194,1
0.195,0.5,0,0.53668,0.195,0.0487879,195,1
0.196,0.5,0,0.537044,0.196,0.048834,196,1
0.197,0.5,0,0.53741,0.197,0.0488802,197,1
0.198,0.5,0,0.537777,0.198,0.0489263,198,1
0.199,0.5,0,0.538146,0.199,0.0489724,199,1
0.2,0.5,0,0.538516,0.2,0.0490186,200,1
0.201,0.5,0,0.538889,0.201,0.0490647,201,1
0.202,0.5,0,0.539262,0.202,0.0491108,202,1
0.203,0.5,0,0.539638,0.203,0.049157,203,1
0.204,0.5,0,0.540015,0.204,0.0492072,204,1
0.205,0.5,0,0.540393,0.205,0.0492579,205,1
0.206,0.5,0,0.540774,0.206,0.0493087,206,1
0.207,0.5,0,0.541155,0.207,0.0493595,207,1
