Points_0,Points_1,Points_2,Points_Magnitude,arc_length,phi,Point ID,vtkValidPointMask
0,0,0,0,0,0,0,1
0.001,0.001,0,0.00141421,0.00141421,0.000162814,1,1
0.002,0.002,0,0.00282843,0.00282843,0.00032416,2,1
0.003,0.003,0,0.00424264,0.00424264,0.000484039,3,1
0.004,0.004,0,0.00565685,0.00565685,0.00064245,4,1
0.005,0.005,0,0.00707107,0.00707107,0.000799394,5,1
0.006,0.006,0,0.00848528,0.00848528,0.000954871,6,1
0.007,0.007,0,0.0098995,0.0098995,0.00110888,7,1
0.008,0.008,0,0.0113137,0.0113137,0.00126142,8,1
0.009,0.009,0,0.0127279,0.0127279,0.0014125,9,1
0.01,0.01,0,0.0141421,0.0141421,0.0015621,10,1
0.011,0.011,0,0.0155563,0.0155563,0.00171024,11,1
0.012,0.012,0,0.0169706,0.0169706,0.00185692,12,1
0.013,0.013,0,0.0183848,0.0183848,0.00200212,13,1
0.014,0.014,0,0.019799,0.019799,0.00214586,14,1
0.015,0.015,0,0.0212132,0.0212132,0.00228813,15,1
0.016,0.016,0,0.0226274,0.0226274,0.00242893,16,1
0.017,0.017,0,0.0240416,0.0240416,0.00256827,17,1
0.018,0.018,0,0.0254558,0.0254558,0.00270614,18,1
0.019,0.019,0,0.0268701,0.0268701,0.00284254,19,1
0.02,0.02,0,0.0282843,0.0282843,0.00297747,20,1
0.021,0.021,0,0.0296985,0.0296985,0.00311094,21,1
0.022,0.022,0,0.0311127,0.0311127,0.00324293,22,1
0.023,0.023,0,0.0325269,0.0325269,0.00337347,23,1
0.024,0.024,0,0.0339411,0.0339411,0.00350253,24,1
0.025,0.025,0,0.0353553,0.0353553,0.00363013,25,1
0.026,0.026,0,0.0367696,0.0367696,0.00375625,26,1
0.027,0.027,0,0.0381838,0.0381838,0.00388092,27,1
0.028,0.028,0,0.039598,0.039598,0.00400411,28,1
0.029,0.029,0,0.0410122,0.0410122,0.00412584,29,1
0.03,0.03,0,0.0424264,0.0424264,0.0042461,30,1
0.031,0.031,0,0.0438406,0.0438406,0.00436489,31,1
0.032,0.032,0,0.0452548,0.0452548,0.00448221,32,1
0.033,0.033,0,0.046669,0.046669,0.00459807,33,1
0.034,0.034,0,0.0480833,0.0480833,0.00471246,34,1
0.035,0.035,0,0.0494975,0.0494975,0.00482538,35,1
0.036,0.036,0,0.0509117,0.0509117,0.00493684,36,1
0.037,0.037,0,0.0523259,0.0523259,0.00504683,37,1
0.038,0.038,0,0.0537401,0.0537401,0.00515535,38,1
0.039,0.039,0,0.0551543,0.0551543,0.0052624,39,1
0.04,0.04,0,0.0565685,0.0565685,0.00536799,40,1
0.041,0.041,0,0.0579828,0.0579828,0.00547211,41,1
0.042,0.042,0,0.059397,0.059397,0.00557476,42,1
0.043,0.043,0,0.0608112,0.0608112,0.00567594,43,1
0.044,0.044,0,0.0622254,0.0622254,0.00577566,44,1
0.045,0.045,0,0.0636396,0.0636396,0.00587391,45,1
0.046,0.046,0,0.0650538,0.0650538,0.00597069,46,1
0.047,0.047,0,0.066468,0.066468,0.006066,47,1
0.048,0.048,0,0.0678823,0.0678823,0.00615985,48,1
0.049,0.049,0,0.0692965,0.0692965,0.00625223,49,1
0.05,0.05,0,0.0707107,0.0707107,0.00634314,50,1
0.051,0.051,0,0.0721249,0.0721249,0.00643258,51,1
0.052,0.052,0,0.0735391,0.0735391,0.00652056,52,1
0.053,0.053,0,0.0749533,0.0749533,0.00660707,53,1
0.054,0.054,0,0.0763675,0.0763675,0.00669211,54,1
0.055,0.055,0,0.0777817,0.0777817,0.00677569,55,1
0.056,0.056,0,0.079196,0.079196,0.0068578,56,1
0.057,0.057,0,0.0806102,0.0806102,0.00693844,57,1
0.058,0.058,0,0.0820244,0.0820244,0.00701761,58,1
0.059,0.059,0,0.0834386,0.0834386,0.00709532,59,1
0.06,0.06,0,0.0848528,0.0848528,0.00717155,60,1
0.061,0.061,0,0.086267,0.086267,0.00724633,61,1
0.062,0.062,0,0.0876812,0.0876812,0.00731963,62,1
0.063,0.063,0,0.0890955,0.0890955,0.00740373,63,1
0.064,0.064,0,0.0905097,0.0905097,0.00749952,64,1
0.065,0.065,0,0.0919239,0.0919239,0.00759506,65,1
0.066,0.066,0,0.0933381,0.0933381,0.00769034,66,1
0.067,0.067,0,0.0947523,0.0947523,0.00778535,67,1
0.068,0.068,0,0.0961665,0.0961665,0.00788011,68,1
0.069,0.069,0,0.0975807,0.0975807,0.00797461,69,1
0.07,0.07,0,0.0989949,0.0989949,0.00806884,70,1
0.071,0.071,0,0.100409,0.100409,0.00816282,71,1
