289	6.111196505773e-04	1.147538293289e-03
1089	8.406694076520e-03	1.712833469031e-01
4225	5.110222471132e-02	1.226884789744e+00
289	1.450106168391e-01	1.486621996715e+00
289	3.160112788575e-01	2.439090766485e+00
289	5.835808975454e-01	3.048427611315e+00
289	6.059769196094e-01	3.077148627520e+00
289	6.132224906782e-01	3.085699637792e+00
1089	2.196943925379e-01	2.579119373785e+00
1089	2.413119163683e-01	2.701221970192e+00
1089	4.049921595811e-01	3.240693745157e+00
1089	5.605748947331e-01	3.438297509166e+00
1089	6.608539816448e-01	3.506678503898e+00
1089	6.826256725739e-01	3.518012524495e+00
1089	6.893914990765e-01	3.521306700529e+00
4225	3.023141143481e-01	3.425169723811e+00
4225	4.555596486125e-01	3.652035311211e+00
4225	7.024981107303e-01	3.750130145719e+00
4225	7.238243120881e-01	3.754085144405e+00
4225	7.303900421055e-01	3.755226640929e+00
4225	7.303900421055e-01	3.755226640929e+00
289	6.111196505773e-04	1.147538293289e-03
1089	8.406694076520e-03	1.712833469031e-01
4225	5.110222471132e-02	1.226884789744e+00
