0 0 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 1 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 2 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 3 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 4 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 5 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 6 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 7 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 8 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 9 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 10 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 11 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 12 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 13 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 14 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 15 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
0 16 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 

1 0 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
1 1 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 2 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 3 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 4 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 5 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 6 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 7 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 8 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 9 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 10 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 11 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 12 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 13 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 14 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 15 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
1 16 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 

2 0 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
2 1 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 2 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 3 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 4 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 5 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 6 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 7 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 8 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 9 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 10 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 11 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 12 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 13 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 14 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 15 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
2 16 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 

3 0 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 
3 1 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
3 2 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
3 3 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
3 4 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
3 5 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
3 6 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
3 7 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
3 8 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
3 9 2.560000e+02 2.560000e+02 -1.024000e+03 2.560000e+02 2.560000e+02 
